# x_index original_841_index pi_of_i y_family squared_error euclidean_error order_rank
1 1 178 M1 0.00010553887780500256 0.010273211659700318 56
2 2 305 M1 0.0038353046907549596 0.061929836837787321 559
3 3 689 M2 0.00015337160139262116 0.012384328863229576 74
4 4 177 M1 0.0084056398401600174 0.091682276586917369 613
5 5 363 M1 0.00032529096847920986 0.018035824585507863 185
6 6 118 M1 0.00055399566030239116 0.023537112403657148 353
7 7 318 M1 0.00077989810395212122 0.027926655796069125 428
8 8 340 M1 0.00029994671511052856 0.017318969805116255 164
9 9 313 M1 0.019654434793432436 0.14019427518066649 742
10 10 126 M1 0.00015061633138510941 0.012272584543815921 72
11 11 678 M2 0.03625194087167273 0.19039942455709452 804
12 12 817 E3 0.34030252419518564 0.58335454416262644 834
13 13 144 M1 0.017655167483552031 0.13287274921349385 723
14 14 583 M2 0.0006146669868114683 0.024792478432207384 381
15 15 183 M1 0.00015066075048849459 0.012274394098630473 73
16 16 143 M1 0.0087529295706354465 0.093557092572586112 619
17 17 455 M2 0.0017616064131276625 0.041971495245316938 493
18 18 34 E2 4.4760365913586498e-05 0.0066903188200254328 15
19 19 231 M1 0.00051570375130609541 0.022709111636215439 328
20 20 456 M2 0.0064210247458616407 0.080131296918629996 589
21 21 368 M1 0.013268664798305562 0.11518969050355836 655
22 22 212 M1 0.033469829970446688 0.18294761537239748 798
23 23 315 M1 0.018051502052547248 0.13435587836989957 729
24 24 341 M1 0.018331567381656238 0.13539411871147225 731
25 25 342 M1 0.00055304334949067189 0.023516873718474399 351
26 26 713 M2 0.00062287908592289836 0.024957545671057048 384
27 27 273 M1 0.00067794317906081736 0.026037342012210411 404
28 28 365 M1 0.016043042823572426 0.12666113383186031 697
29 29 314 M1 0.0003777345004787489 0.019435392984932125 221
30 30 467 M2 0.00037935894730087852 0.019477139094355684 222
31 31 360 M1 0.00027017785191017779 0.016437087695518868 142
32 32 321 M1 0.00044382124144170452 0.021067065325804268 270
33 33 732 M2 0.0011729531222211317 0.034248403206881509 467
34 34 809 M2 9.7289535565904203e-05 0.0098635457907338877 52
35 35 695 M2 0.00012426495977952226 0.011147419422427876 62
36 36 199 M1 0.001066783279790152 0.032661648454879802 455
37 37 326 M1 0.014375682150697417 0.11989863281412935 667
38 38 815 M2 0.00017602194802399611 0.0132673263329126 91
39 39 33 E2 5.8341900713294174e-05 0.0076381870043416827 32
40 40 317 M1 0.01798384992430092 0.13410387736490292 728
41 41 320 M1 0.00022131598868194521 0.014876692800550304 114
42 42 225 M1 0.015206813760994546 0.12331591041303043 685
43 43 469 M2 0.00039844877270373474 0.019961181645978144 233
44 44 325 M1 0.0066843965650188221 0.081758159011922613 591
45 45 137 M1 0.00064872145483695011 0.025470010891967636 391
46 46 450 M2 0.00018903975994528474 0.013749173064053152 94
47 47 214 M1 0.0026538296770931254 0.051515334387860913 524
48 48 138 M1 0.00054128336342239552 0.02326549727434158 343
49 49 15 E1 4.6625488334419338e-05 0.0068282859001669912 17
50 50 552 M2 0.00034470664691917222 0.018566277142151363 197
51 51 551 M2 0.019990617550671927 0.14138818037824777 749
52 52 499 M2 0.0018871979089660374 0.043441891176214199 500
53 53 501 M2 0.00092696316371989218 0.030446069758178842 443
54 54 14 E1 5.3188823271247567e-05 0.0072930667946514496 24
55 55 672 M2 0.0033489219244112948 0.057869870609940845 553
56 56 545 M2 0.00034360003795731747 0.018536451601029725 196
57 57 546 M2 0.00041987842261598864 0.02049093513278466 250
58 58 502 M2 0.019748371076152512 0.140528897655082 743
59 59 500 M2 0.0075675062570412406 0.086991414846760831 603
60 60 13 E1 5.920064205181896e-05 0.0076941953479112398 33
61 61 271 M1 0.033752355094131214 0.18371814035127618 799
62 62 812 M2 0.00018847108084601581 0.013728477003878319 93
63 63 610 M2 0.00055311226712895342 0.023518338953441277 352
64 64 10 E1 0.00052272797994020901 0.022863245175176006 332
65 65 604 M2 0.00047500162572860274 0.0217945320144435 301
66 66 460 M2 0.018443336435513706 0.13580624593704704 735
67 67 556 M2 0.0048077989930457917 0.069338293842910445 579
68 68 386 M1 0.017088220474905297 0.13072192040704306 714
69 69 603 M2 0.00025903853266542296 0.016094674046572766 132
70 70 829 E3 0.33091054365034384 0.5752482452388219 831
71 71 293 M1 0.0021083117247428689 0.045916355743273754 509
72 72 511 M2 0.00043641697249458244 0.020890595312115508 264
73 73 285 M1 0.0019091225240510429 0.043693506657752283 502
74 74 553 M2 0.0020360534849630102 0.045122649356648045 507
75 75 407 M1 0.00025747129970947507 0.016045912242981859 131
76 76 87 M1 0.00072770467515266416 0.026976001837793979 419
77 77 623 M2 0.00052622521147780192 0.022939599200461239 334
78 78 631 M2 0.0068351592647489376 0.082675022012388591 594
79 79 140 M1 0.014487067198477203 0.12036223327305456 668
80 80 9 E1 0.00045580939776166502 0.021349693153805863 278
81 81 605 M2 0.0017564429866659234 0.041909938996208568 492
82 82 507 M2 0.00045679117499624109 0.02137267355751828 280
83 83 475 M2 0.0024721067629312437 0.049720285225763175 521
84 84 391 M1 0.017706912816779493 0.13306732437672103 724
85 85 606 M2 0.00074623736055156502 0.027317345415533423 422
86 86 146 M1 0.016713179587178155 0.12927946312998889 710
87 87 292 M1 0.00045981917000085832 0.021443394554054595 282
88 88 392 M1 0.00073220344429013665 0.027059258014404914 420
89 89 156 M1 0.031378853836858366 0.17714077406644232 794
90 90 619 M2 0.00060166831943414577 0.024528928216172547 378
91 91 620 M2 0.0026643432090290827 0.051617276265113823 525
92 92 82 M1 0.000684582130544236 0.026164520453167799 406
93 93 385 M1 0.00081934758065537209 0.028624248123843742 433
94 94 441 M2 0.00056581794916484821 0.023786928115350419 359
95 95 442 M2 0.04382109741626803 0.20933489297359872 814
96 96 667 M2 0.00040652628821789128 0.020162497072979114 241
97 97 778 M2 0.00018989191751117248 0.013780127630438423 96
98 98 457 M2 0.0002996926221748861 0.017311632568157344 162
99 99 557 M2 0.0018658507413247154 0.04319549445630546 499
100 100 505 M2 0.00044939042683678399 0.021198830789380438 276
101 101 676 M2 0.00021026520640785636 0.014500524349410829 107
102 102 554 M2 0.0029618726951405258 0.054423089724312104 541
103 103 510 M2 0.00044905084703335751 0.021190819876384149 275
104 104 506 M2 0.00046310280140056089 0.02151982345189107 286
105 105 581 M2 0.00023744412697924018 0.01540922214062865 121
106 106 174 M1 0.0074847947599616781 0.086514708344660546 602
107 107 402 M1 0.00031594697605027695 0.017774897356954748 180
108 108 462 M2 0.00055735380135690988 0.02360834177482421 354
109 109 40 E2 6.8113149511629737e-05 0.0082530690965016001 35
110 110 429 M1 0.015875328530959527 0.12599733541214087 693
111 111 430 M1 0.0070226127101636216 0.083801030483900502 596
112 112 377 M1 0.00069484740065809401 0.026359958282556026 408
113 113 378 M1 0.0086462086268102919 0.092984991406195719 617
114 114 35 E2 7.5427387931074872e-05 0.0086848942383355981 41
115 115 39 E2 8.1020003962664093e-05 0.009001111262653301 48
116 116 428 M1 0.017490903407190957 0.13225317919502336 721
117 117 427 M1 0.016618085293724164 0.12891115271272754 706
118 118 384 M1 0.012310119908175708 0.11095097975311308 648
119 119 383 M1 0.017455400332699433 0.13211888711573161 719
120 120 36 E2 6.8596865465770792e-05 0.0082823224681106682 36
121 121 110 M1 0.020758916781127047 0.14407955018366433 757
122 122 12 E1 6.9892474698959368e-05 0.0083601719299880046 39
123 123 688 M2 0.00026837346561986295 0.016382108094499404 139
124 124 791 M2 0.000369221899278986 0.019215147651761254 217
125 125 206 M1 0.0027198722316118507 0.052152394303731163 528
126 126 685 M2 0.0023904920087330348 0.048892658024830629 519
127 127 208 M1 0.0199071815333281 0.14109281177057922 748
128 128 111 M1 0.00062478757843248325 0.02499575120760493 385
129 129 306 M1 0.0069174542694203246 0.083171234627245516 595
130 130 201 M1 0.011677905731356689 0.10806435920948539 640
131 131 684 M2 0.0017403622066580365 0.041717648623310934 490
132 132 203 M1 0.017243402233917137 0.13131413569725514 717
133 133 786 M2 0.00035476360809194059 0.018835169446860322 210
134 134 681 M2 0.0018433619953427416 0.042934391754661454 498
135 135 788 M2 0.012933012484643009 0.11372340341654838 653
136 136 107 M1 0.0008839642052454825 0.029731535534605044 439
137 137 513 M2 0.0027762928169506825 0.052690538210865549 530
138 138 485 M2 0.011119723762639169 0.10545010081853487 635
139 139 296 M1 0.012721609960512888 0.11279011464003788 652
140 140 240 M1 0.01599690049245852 0.12647885393400163 695
141 141 155 M1 0.0028685223277340492 0.053558587805636264 537
142 142 191 M1 0.0028905052241856811 0.053763419015029922 538
143 143 768 M2 0.00030457311911032163 0.017452023352904432 170
144 144 104 M1 0.017479611561691089 0.1322104820416713 720
145 145 97 M1 0.013047707862631052 0.11422656373467185 654
146 146 527 M2 0.00065168869499052703 0.025528194119258163 394
147 147 188 M1 0.014861646547688461 0.12190835306773881 677
148 148 154 M1 0.0006164955285073092 0.024829327991456176 383
149 149 23 E1 3.9972619970356021e-05 0.0063223903683935889 13
150 150 291 M1 0.0084300672296724107 0.091815397563112536 614
151 151 11 E1 7.7215348639535927e-05 0.0087872264474938809 43
152 152 835 E3 0.32604078209791837 0.57099980919254112 830
153 153 294 M1 0.0017394055013995747 0.041706180613903916 489
154 154 277 M1 0.00056479067615079596 0.023765325079846814 358
155 155 613 M2 0.023989073635416705 0.15488406514363157 774
156 156 101 M1 0.012236070700265842 0.11061677404564753 645
157 157 458 M2 0.00061062844415843193 0.024710897275461934 380
158 158 189 M1 0.014722254464771396 0.12133529768691136 675
159 159 709 M2 0.00059165992552061839 0.024324060629767767 376
160 160 477 M2 0.00035050057022898025 0.018721660455979332 205
161 161 106 M1 0.023002261741572397 0.15166496543886593 771
162 162 617 M2 0.022907431992346284 0.15135201350608549 770
163 163 290 M1 0.001033678248520123 0.03215086699484359 450
164 164 814 M2 0.0016562180855570735 0.040696659390631482 487
165 165 100 M1 0.016727095852599305 0.12933327434422784 711
166 166 714 M2 0.00025429342094371901 0.015946580227237408 129
167 167 276 M1 0.00064915991948066517 0.025478616906744862 392
168 168 745 M2 0.00044391121498230546 0.021069200625137761 271
169 169 594 M2 0.0046153435181502346 0.067936319580547147 573
170 170 351 M1 0.01710543919648698 0.13078776394023631 715
171 171 652 M2 0.029908752940269727 0.17294147258616058 792
172 172 423 M1 0.018380773389779351 0.13557571091378923 732
173 173 173 M1 0.0059574749915361725 0.077184681067788141 588
174 174 726 M2 0.00020632861831087251 0.014364143493813772 105
175 175 762 M2 0.033335249518320245 0.1825794334483494 797
176 176 130 M1 0.016633314660438357 0.12897020842209397 707
177 177 411 M1 0.016020898504662796 0.1265736880424316 696
178 178 767 M2 0.00051935104695466209 0.022789274822921902 331
179 179 723 M2 0.00030278039557035067 0.017400586069737729 167
180 180 343 M1 0.00038904787849960455 0.019724296654116836 225
181 181 418 M1 0.021247671693300156 0.14576581112627252 758
182 182 653 M2 0.0022776769015934823 0.047725013374471485 515
183 183 236 M1 0.016140807617720406 0.12704647817913098 698
184 184 599 M2 0.0030794500005072688 0.05549279232934011 548
185 185 751 M2 0.00031768728636563957 0.017823784288574621 181
186 186 838 E3 0.28344645556443482 0.53239689665176937 824
187 187 570 M2 0.00028406025233929983 0.016854087110825665 155
188 188 148 M1 0.00063443390123641558 0.025187971360084074 387
189 189 666 M2 0.00018957193141998159 0.013768512316876562 95
190 190 698 M2 0.00039796757023167031 0.019949124548001355 232
191 191 821 E3 0.35260388199592363 0.59380458232984668 836
192 192 414 M1 0.015818590846811361 0.1257719795773739 692
193 193 327 M1 0.015907678155747288 0.12612564432242671 694
194 194 839 E3 0.24423995597763623 0.49420639006151695 819
