# rank x_index original_841_index pi_of_i y_family squared_error euclidean_error
817 826 827 826 E3 0.058065713238283273 0.24096828263961062
818 444 444 820 E3 0.21202408648226923 0.46046073283426592
819 194 194 839 E3 0.24423995597763623 0.49420639006151695
820 334 334 823 E3 0.25659325565466057 0.50655034858803583
821 718 718 824 E3 0.26483630656573026 0.51462248937034438
822 837 838 840 E3 0.27501774372323728 0.52442134178848721
823 781 782 837 E3 0.27675900960611644 0.5260789005521096
824 186 186 838 E3 0.28344645556443482 0.53239689665176937
825 822 823 825 E3 0.29033915634235768 0.53883128745680464
826 632 632 819 E3 0.29081322683706262 0.53927101427488444
827 810 811 831 E3 0.29916334903926645 0.54695826992492436
828 511 511 834 E3 0.31260995856842838 0.55911533565842064
829 753 754 832 E3 0.32054936213330976 0.56617078883788219
830 152 152 835 E3 0.32604078209791837 0.57099980919254112
831 70 70 829 E3 0.33091054365034384 0.5752482452388219
832 580 580 818 E3 0.33248621233858405 0.57661617419092925
833 766 767 822 E3 0.3395167093717486 0.58268062381698316
834 12 12 817 E3 0.34030252419518564 0.58335454416262644
835 407 407 830 E3 0.34964049559850746 0.59130406357347776
836 191 191 821 E3 0.35260388199592363 0.59380458232984668
837 198 198 836 E3 0.35697572677996714 0.5974744570104793
838 548 548 828 E3 0.39026759915329362 0.62471401389219183
839 623 623 833 E3 0.39227450393351931 0.62631821299840806
840 786 787 827 E3 0.4009249784394493 0.63318636943592621
